Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
57,Exit Short,ExitShort,2024-02-28 18:00,60758.96,16.2864,9124.45,0.91,-95235.96,1.02,9560.05,0.96,3058.59,0.31
57,Entry Short,BBandSE,2024-02-28 18:00,61372.69,16.2864,9124.45,0.91,-95235.96,1.02,9560.05,0.96,3058.59,0.31
56,Exit Short,ExitShort,2024-02-28 12:00,59240.73,16.956879,-5882.20,-0.59,-104360.41,-0.65,540.05,0.05,5440.00,0.54
56,Entry Short,BBandSE,2024-02-28 12:00,58946.00,16.956879,-5882.20,-0.59,-104360.41,-0.65,540.05,0.05,5440.00,0.54
55,Exit Short,ExitShort,2024-02-27 04:00,55958.40,17.946848,-5882.20,-0.59,-98478.21,-0.65,1313.59,0.13,5440.00,0.54
55,Entry Short,BBandSE,2024-02-27 04:00,55680.00,17.946848,-5882.20,-0.59,-98478.21,-0.65,1313.59,0.13,5440.00,0.54
54,Exit Short,ExitShort,2024-02-27 01:00,54933.16,18.295143,-5886.19,-0.59,-92596.01,-0.64,3554.89,0.36,5443.66,0.54
54,Entry Short,BBandSE,2024-02-26 23:00,54659.86,18.295143,-5886.19,-0.59,-92596.01,-0.64,3554.89,0.36,5443.66,0.54
53,Exit Long,ExitLong,2024-02-26 14:00,51685.61,19.541418,9115.63,0.91,-86709.82,1.01,9560.03,0.96,4730.86,0.47
53,Entry Long,BBandLE,2024-02-26 11:00,51173.87,19.541418,9115.63,0.91,-86709.82,1.01,9560.03,0.96,4730.86,0.47
52,Exit Long,ExitLong,2024-02-26 07:00,51305.71,19.393548,-5877.98,-0.59,-95825.45,-0.65,7582.72,0.76,5440.19,0.54
52,Entry Long,BBandLE,2024-02-25 18:00,51563.54,19.393548,-5877.98,-0.59,-95825.45,-0.65,7582.72,0.76,5440.19,0.54
51,Exit Short,ExitShort,2024-02-25 02:00,51808.89,19.401127,-5883.10,-0.59,-89947.47,-0.64,1852.05,0.19,5440.83,0.54
51,Entry Short,BBandSE,2024-02-24 23:00,51551.13,19.401127,-5883.10,-0.59,-89947.47,-0.64,1852.05,0.19,5440.83,0.54
50,Exit Long,ExitLong,2024-02-24 17:00,51304.95,19.689163,9115.60,0.91,-84064.36,1.01,9560.00,0.96,2703.52,0.27
50,Entry Long,BBandLE,2024-02-24 03:00,50796.98,19.689163,9115.60,0.91,-84064.36,1.01,9560.00,0.96,2703.52,0.27
49,Exit Long,ExitLong,2024-02-24 01:00,50635.55,19.653173,-5877.80,-0.59,-93179.97,-0.64,0,0,5440.00,0.54
49,Entry Long,BBandLE,2024-02-24 01:00,50890.00,19.653173,-5877.80,-0.59,-93179.97,-0.64,0,0,5440.00,0.54
48,Exit Long,ExitLong,2024-02-23 16:00,50705.09,19.636629,-5877.81,-0.59,-87302.17,-0.64,6848.48,0.68,5440.01,0.54
48,Entry Long,BBandLE,2024-02-23 09:00,50959.89,19.636629,-5877.81,-0.59,-87302.17,-0.64,6848.48,0.68,5440.01,0.54
47,Exit Long,ExitLong,2024-02-23 08:00,50848.38,19.581293,-5877.81,-0.59,-81424.36,-0.64,3929.53,0.39,5440.01,0.54
47,Entry Long,BBandLE,2024-02-23 04:00,51103.90,19.581293,-5877.81,-0.59,-81424.36,-0.64,3929.53,0.39,5440.01,0.54
46,Exit Short,ExitShort,2024-02-23 02:00,51139.59,19.357613,9117.48,0.91,-75546.55,1,9552.76,0.96,1637.15,0.16
46,Entry Short,BBandSE,2024-02-22 22:00,51656.16,19.357613,9117.48,0.91,-75546.55,1,9552.76,0.96,1637.15,0.16
45,Exit Short,ExitShort,2024-02-22 06:00,51787.64,19.40501,-5882.20,-0.59,-84664.03,-0.64,6933.96,0.69,5440.00,0.54
45,Entry Short,BBandSE,2024-02-22 01:00,51529.99,19.40501,-5882.20,-0.59,-84664.03,-0.64,6933.96,0.69,5440.00,0.54
44,Exit Long,ExitLong,2024-02-21 17:00,50893.02,19.547098,-5877.92,-0.59,-78781.83,-0.63,5019.17,0.5,5440.12,0.54
44,Entry Long,BBandLE,2024-02-21 16:00,51148.77,19.547098,-5877.92,-0.59,-78781.83,-0.63,5019.17,0.5,5440.12,0.54
43,Exit Long,ExitLong,2024-02-21 13:00,51058.32,19.483815,-5877.91,-0.59,-72903.91,-0.63,2153.79,0.22,5440.11,0.54
43,Entry Long,BBandLE,2024-02-21 13:00,51314.90,19.483815,-5877.91,-0.59,-72903.91,-0.63,2153.79,0.22,5440.11,0.54
42,Exit Long,ExitLong,2024-02-21 11:00,51018.42,19.499052,-5877.92,-0.59,-67026.01,-0.63,1528.61,0.15,5440.12,0.54
42,Entry Long,BBandLE,2024-02-21 11:00,51274.80,19.499052,-5877.92,-0.59,-67026.01,-0.63,1528.61,0.15,5440.12,0.54
41,Exit Short,ExitShort,2024-02-20 15:00,51523.56,19.210284,9124.40,0.91,-61148.09,0.98,9560.00,0.96,1202.05,0.12
41,Entry Short,BBandSE,2024-02-20 15:00,52044.00,19.210284,9124.40,0.91,-61148.09,0.98,9560.00,0.96,1202.05,0.12
40,Exit Long,ExitLong,2024-02-20 11:00,52145.47,19.364635,9115.76,0.91,-70272.49,0.99,9560.16,0.96,2701.12,0.27
40,Entry Long,BBandLE,2024-02-20 02:00,51629.17,19.364635,9115.76,0.91,-70272.49,0.99,9560.16,0.96,2701.12,0.27
39,Exit Long,ExitLong,2024-02-20 00:00,51642.78,19.262538,-5877.91,-0.59,-79388.25,-0.63,3643.63,0.36,5440.11,0.54
39,Entry Long,BBandLE,2024-02-19 22:00,51902.30,19.262538,-5877.91,-0.59,-79388.25,-0.63,3643.63,0.36,5440.11,0.54
38,Exit Long,ExitLong,2024-02-19 19:00,51888.55,19.171303,-5877.87,-0.59,-73510.34,-0.63,532.78,0.05,5440.07,0.54
38,Entry Long,BBandLE,2024-02-19 18:00,52149.30,19.171303,-5877.87,-0.59,-73510.34,-0.63,532.78,0.05,5440.07,0.54
37,Exit Short,ExitShort,2024-02-19 09:00,52359.60,19.189775,-5882.29,-0.59,-67632.47,-0.63,0,0,5440.09,0.54
37,Entry Short,BBandSE,2024-02-19 09:00,52099.10,19.189775,-5882.29,-0.59,-67632.47,-0.63,0,0,5440.09,0.54
36,Exit Short,ExitShort,2024-02-19 06:00,52352.53,19.192369,-5882.39,-0.59,-61750.19,-0.62,1634.40,0.16,5440.19,0.54
36,Entry Short,BBandSE,2024-02-19 02:00,52092.06,19.192369,-5882.39,-0.59,-61750.19,-0.62,1634.40,0.16,5440.19,0.54
35,Exit Short,ExitShort,2024-02-18 22:00,52090.36,19.287612,-5882.28,-0.59,-55867.80,-0.62,5243.06,0.52,5440.08,0.54
35,Entry Short,BBandSE,2024-02-18 11:00,51831.20,19.287612,-5882.28,-0.59,-55867.80,-0.62,5243.06,0.52,5440.08,0.54
34,Exit Long,ExitLong,2024-02-17 21:00,51724.15,19.513981,9115.79,0.91,-49985.52,0.97,9560.19,0.96,1846.12,0.18
34,Entry Long,BBandLE,2024-02-17 18:00,51212.02,19.513981,9115.79,0.91,-49985.52,0.97,9560.19,0.96,1846.12,0.18
33,Exit Long,ExitLong,2024-02-17 13:00,51465.63,19.320729,-5877.97,-0.59,-59101.31,-0.62,1065.29,0.11,5440.17,0.54
33,Entry Long,BBandLE,2024-02-17 11:00,51724.26,19.320729,-5877.97,-0.59,-59101.31,-0.62,1065.29,0.11,5440.17,0.54
32,Exit Long,ExitLong,2024-02-16 02:00,52161.19,19.345258,9116.70,0.91,-53223.35,0.97,9561.15,0.96,876.25,0.09
32,Entry Long,BBandLE,2024-02-15 23:00,51644.74,19.345258,9116.70,0.91,-53223.35,0.97,9561.15,0.96,876.25,0.09
31,Exit Short,ExitShort,2024-02-15 16:00,52202.11,19.234402,-5882.35,-0.59,-62340.05,-0.62,3570.02,0.36,5440.15,0.54
31,Entry Short,BBandSE,2024-02-15 16:00,51942.39,19.234402,-5882.35,-0.59,-62340.05,-0.62,3570.02,0.36,5440.15,0.54
30,Exit Short,ExitShort,2024-02-15 11:00,52412.49,19.157194,-5882.23,-0.59,-56457.69,-0.62,9456.32,0.95,5440.03,0.54
30,Entry Short,BBandSE,2024-02-15 05:00,52151.73,19.157194,-5882.23,-0.59,-56457.69,-0.62,9456.32,0.95,5440.03,0.54
29,Exit Short,ExitShort,2024-02-14 15:00,51393.70,19.253434,9124.43,0.91,-50575.47,0.97,9560.03,0.96,2019.19,0.2
29,Entry Short,BBandSE,2024-02-14 15:00,51912.83,19.253434,9124.43,0.91,-50575.47,0.97,9560.03,0.96,2019.19,0.2
28,Exit Long,ExitLong,2024-02-13 20:00,49330.94,20.467214,9115.70,0.91,-59699.90,0.98,9560.10,0.96,765.95,0.08
28,Entry Long,BBandLE,2024-02-13 18:00,48842.51,20.467214,9115.70,0.91,-59699.90,0.98,9560.10,0.96,765.95,0.08
27,Exit Short,ExitShort,2024-02-12 22:00,50060.14,20.069833,-5882.29,-0.59,-68815.60,-0.63,0,0,5440.09,0.54
27,Entry Short,BBandSE,2024-02-12 22:00,49811.08,20.069833,-5882.29,-0.59,-68815.60,-0.63,0,0,5440.09,0.54
26,Exit Short,ExitShort,2024-02-12 20:00,49776.86,20.18405,-5882.28,-0.59,-62933.31,-0.62,0,0,5440.08,0.54
26,Entry Short,BBandSE,2024-02-12 20:00,49529.21,20.18405,-5882.28,-0.59,-62933.31,-0.62,0,0,5440.08,0.54
25,Exit Long,ExitLong,2024-02-12 14:00,48383.04,20.868822,9115.60,0.91,-57051.03,0.98,9560.00,0.96,1734.26,0.17
25,Entry Long,BBandLE,2024-02-12 12:00,47904.00,20.868822,9115.60,0.91,-57051.03,0.98,9560.00,0.96,1734.26,0.17
24,Exit Short,ExitShort,2024-02-12 06:00,48000.19,20.618728,9124.60,0.91,-66166.63,0.99,9560.20,0.96,1573.34,0.16
24,Entry Short,BBandSE,2024-02-12 02:00,48485.05,20.618728,9124.60,0.91,-66166.63,0.99,9560.20,0.96,1573.34,0.16
23,Exit Short,ExitShort,2024-02-12 00:00,48469.68,20.728396,-5882.35,-0.59,-75291.22,-0.63,5895.05,0.59,5440.15,0.54
23,Entry Short,BBandSE,2024-02-11 06:00,48228.53,20.728396,-5882.35,-0.59,-75291.22,-0.63,5895.05,0.59,5440.15,0.54
22,Exit Short,ExitShort,2024-02-11 03:00,47986.94,20.933154,-5881.33,-0.59,-69408.87,-0.63,3382.57,0.34,5439.21,0.54
22,Entry Short,BBandSE,2024-02-11 00:00,47748.19,20.933154,-5881.33,-0.59,-69408.87,-0.63,3382.57,0.34,5439.21,0.54
21,Exit Long,ExitLong,2024-02-10 19:00,47656.84,21.183012,9115.60,0.91,-63527.54,0.98,9560.00,0.96,2116.80,0.21
21,Entry Long,BBandLE,2024-02-10 12:00,47184.99,21.183012,9115.60,0.91,-63527.54,0.98,9560.00,0.96,2116.80,0.21
20,Exit Short,ExitShort,2024-02-09 16:00,47295.08,21.245531,-5882.22,-0.59,-72643.14,-0.63,5936.78,0.59,5440.02,0.54
20,Entry Short,BBandSE,2024-02-09 15:00,47059.78,21.245531,-5882.22,-0.59,-72643.14,-0.63,5936.78,0.59,5440.02,0.54
19,Exit Short,ExitShort,2024-02-09 10:00,46766.33,21.485738,-5882.24,-0.59,-66760.92,-0.63,0,0,5440.04,0.54
19,Entry Short,BBandSE,2024-02-09 10:00,46533.66,21.485738,-5882.24,-0.59,-66760.92,-0.63,0,0,5440.04,0.54
18,Exit Short,ExitShort,2024-02-09 07:00,46430.13,21.641317,-5882.29,-0.59,-60878.68,-0.62,0,0,5440.09,0.54
18,Entry Short,BBandSE,2024-02-09 07:00,46199.13,21.641317,-5882.29,-0.59,-60878.68,-0.62,0,0,5440.09,0.54
17,Exit Short,ExitShort,2024-02-09 05:00,46194.56,21.751678,-5882.34,-0.59,-54996.39,-0.62,184.83,0.02,5440.14,0.54
17,Entry Short,BBandSE,2024-02-09 05:00,45964.73,21.751678,-5882.34,-0.59,-54996.39,-0.62,184.83,0.02,5440.14,0.54
16,Exit Short,ExitShort,2024-02-09 02:00,45543.40,22.071722,-5884.56,-0.59,-49114.05,-0.62,1632.08,0.16,5442.18,0.54
16,Entry Short,BBandSE,2024-02-08 22:00,45316.81,22.071722,-5884.56,-0.59,-49114.05,-0.62,1632.08,0.16,5442.18,0.54
15,Exit Short,ExitShort,2024-02-08 20:00,45507.76,22.089006,-5882.27,-0.59,-43229.49,-0.61,0,0,5440.07,0.54
15,Entry Short,BBandSE,2024-02-08 20:00,45281.35,22.089006,-5882.27,-0.59,-43229.49,-0.61,0,0,5440.07,0.54
14,Exit Short,ExitShort,2024-02-08 18:00,45292.41,22.194033,-5882.30,-0.59,-37347.21,-0.61,3453.09,0.35,5440.10,0.54
14,Entry Short,BBandSE,2024-02-08 17:00,45067.07,22.194033,-5882.30,-0.59,-37347.21,-0.61,3453.09,0.35,5440.10,0.54
13,Exit Short,ExitShort,2024-02-08 11:00,44872.01,22.401967,-5882.34,-0.59,-31464.91,-0.6,4425.98,0.44,5440.14,0.54
13,Entry Short,BBandSE,2024-02-08 03:00,44648.76,22.401967,-5882.34,-0.59,-31464.91,-0.6,4425.98,0.44,5440.14,0.54
12,Exit Short,ExitShort,2024-02-07 17:00,43395.47,23.188324,-5878.02,-0.59,-25582.57,-0.6,8600.95,0.86,5435.37,0.54
12,Entry Short,BBandSE,2024-02-06 18:00,43179.99,23.188324,-5878.02,-0.59,-25582.57,-0.6,8600.95,0.86,5435.37,0.54
11,Exit Short,ExitShort,2024-02-06 15:00,43211.82,23.287103,-5882.34,-0.59,-19704.55,-0.6,7523.15,0.75,5440.14,0.54
11,Entry Short,BBandSE,2024-02-06 10:00,42996.83,23.287103,-5882.34,-0.59,-19704.55,-0.6,7523.15,0.75,5440.14,0.54
10,Exit Long,ExitLong,2024-02-06 02:00,42926.98,23.538919,9107.77,0.91,-13822.22,0.93,9551.81,0.96,1372.90,0.14
10,Entry Long,BBandLE,2024-02-05 23:00,42501.96,23.538919,9107.77,0.91,-13822.22,0.93,9551.81,0.96,1372.90,0.14
9,Exit Short,ExitShort,2024-02-05 15:00,42762.10,23.161759,9124.62,0.91,-22929.99,0.94,9560.22,0.96,477.27,0.05
9,Entry Short,BBandSE,2024-02-05 15:00,43194.05,23.161759,9124.62,0.91,-22929.99,0.94,9560.22,0.96,477.27,0.05
8,Exit Short,ExitShort,2024-02-05 10:00,43247.69,23.248701,-5882.37,-0.59,-32054.61,-0.6,1397.45,0.14,5440.17,0.54
8,Entry Short,BBandSE,2024-02-05 09:00,43032.52,23.248701,-5882.37,-0.59,-32054.61,-0.6,1397.45,0.14,5440.17,0.54
7,Exit Long,ExitLong,2024-02-05 07:00,42953.92,23.524157,9115.69,0.91,-26172.24,0.94,9560.09,0.96,3913.66,0.39
7,Entry Long,BBandLE,2024-02-05 02:00,42528.63,23.524157,9115.69,0.91,-26172.24,0.94,9560.09,0.96,3913.66,0.39
6,Exit Long,ExitLong,2024-02-04 22:00,42669.12,23.325968,-5877.85,-0.59,-35287.92,-0.61,1947.86,0.19,5440.05,0.54
6,Entry Long,BBandLE,2024-02-04 21:00,42883.54,23.325968,-5877.85,-0.59,-35287.92,-0.61,1947.86,0.19,5440.05,0.54
5,Exit Long,ExitLong,2024-02-04 19:00,42625.30,23.349669,-5889.70,-0.59,-29410.07,-0.6,6191.42,0.62,5451.90,0.54
5,Entry Long,BBandLE,2024-02-04 08:00,42840.01,23.349669,-5889.70,-0.59,-29410.07,-0.6,6191.42,0.62,5451.90,0.54
4,Exit Long,ExitLong,2024-02-02 17:00,43021.72,23.135024,-5877.81,-0.59,-23520.37,-0.6,5332.02,0.53,5440.01,0.54
4,Entry Long,BBandLE,2024-02-02 16:00,43237.91,23.135024,-5877.81,-0.59,-23520.37,-0.6,5332.02,0.53,5440.01,0.54
3,Exit Short,ExitShort,2024-02-01 21:00,43218.60,23.270399,-5882.25,-0.59,-17642.56,-0.6,414.58,0.04,5440.05,0.54
3,Entry Short,BBandSE,2024-02-01 21:00,43003.58,23.270399,-5882.25,-0.59,-17642.56,-0.6,414.58,0.04,5440.05,0.54
2,Exit Short,ExitShort,2024-02-01 17:00,42723.75,23.539931,-5882.30,-0.59,-11760.31,-0.59,3570.71,0.36,5440.10,0.54
2,Entry Short,BBandSE,2024-02-01 16:00,42511.19,23.539931,-5882.30,-0.59,-11760.31,-0.59,3570.71,0.36,5440.10,0.54
1,Exit Long,ExitLong,2024-02-01 04:00,41955.33,23.732544,-5878.02,-0.59,-5878.02,-0.59,101.43,0.01,5440.22,0.54
1,Entry Long,BBandLE,2024-02-01 03:00,42166.17,23.732544,-5878.02,-0.59,-5878.02,-0.59,101.43,0.01,5440.22,0.54